country,iso3,year,population,cases,disease,cases_per_100k
Maldives,MDV,2021,521457.0,0,Measles,0.0
Maldives,MDV,2021,521457.0,200,Tuberculosis,38.35407329846948
Mali,MLI,2021,21904983.0,7744735,Malaria,35356.04204760168
Mali,MLI,2021,21904983.0,2074,Measles,9.468165302844563
Mali,MLI,2021,21904983.0,11000,Tuberculosis,50.21688444131638
Malta,MLT,2021,526748.0,1,Measles,0.18984410002505941
Malta,MLT,2021,526748.0,62,Tuberculosis,11.770334201553684
Marshall Islands,MHL,2021,42050.0,0,Measles,0.0
Marshall Islands,MHL,2021,42050.0,200,Tuberculosis,475.62425683709864
Mauritania,MRT,2021,4614974.0,85030,Malaria,1842.480586022803
Mauritania,MRT,2021,4614974.0,249,Measles,5.395480017872257
Mauritania,MRT,2021,4614974.0,3800,Tuberculosis,82.34065890728745
Mauritius,MUS,2021,1298915.0,0,Malaria,0.0
Mauritius,MUS,2021,1298915.0,0,Measles,0.0
Mauritius,MUS,2021,1298915.0,160,Tuberculosis,12.317973077530093
Mexico,MEX,2021,126705138.0,242,Malaria,0.1909946224911574
Mexico,MEX,2021,126705138.0,0,Measles,0.0
Mexico,MEX,2021,126705138.0,32000,Tuberculosis,25.255487271558003
Micronesia (Federated States of),FSM,2021,113131.0,90,Tuberculosis,79.55379162210181
Monaco,MCO,2021,36686.0,0,Measles,0.0
Monaco,MCO,2021,36686.0,0,Tuberculosis,0.0
Mongolia,MNG,2021,3347782.0,14000,Tuberculosis,418.18732522010094
Montenegro,MNE,2021,627859.0,0,Measles,0.0
Montenegro,MNE,2021,627859.0,98,Tuberculosis,15.6086000200682
Montserrat,MSR,2021,4417.0,0,Tuberculosis,0.0
Morocco,MAR,2021,37076584.0,0,Malaria,0.0
Morocco,MAR,2021,37076584.0,35000,Tuberculosis,94.39920355122251
Mozambique,MOZ,2021,32077072.0,10283922,Malaria,32060.039644516182
Mozambique,MOZ,2021,32077072.0,619,Measles,1.9297272519137656
Mozambique,MOZ,2021,32077072.0,116000,Tuberculosis,361.6290165137267
Myanmar,MMR,2021,53798084.0,292857,Malaria,544.3632527879618
Myanmar,MMR,2021,53798084.0,8,Measles,0.01487041806172874
Myanmar,MMR,2021,53798084.0,194000,Tuberculosis,360.607637996922
Namibia,NAM,2021,2530151.0,21322,Malaria,842.7165019004794
Namibia,NAM,2021,2530151.0,4,Measles,0.1580933311885338
Namibia,NAM,2021,2530151.0,12000,Tuberculosis,474.27999356560144
Nauru,NRU,2021,12511.0,24,Tuberculosis,191.8311885540724
Nepal,NPL,2021,30034989.0,106,Malaria,0.3529217207304454
Nepal,NPL,2021,30034989.0,143,Measles,0.4761113779665443
Nepal,NPL,2021,30034989.0,69000,Tuberculosis,229.73206349434653
Netherlands,NLD,2021,17501696.0,0,Measles,0.0
Netherlands (Kingdom of the),NLD,2021,17501696.0,770,Tuberculosis,4.399573618465319
New Caledonia,NCL,2021,287800.0,29,Tuberculosis,10.076441973592772
New Zealand,NZL,2021,5129727.0,0,Measles,0.0
New Zealand,NZL,2021,5129727.0,350,Tuberculosis,6.822975179770775
Nicaragua,NIC,2021,6850540.0,29457,Malaria,429.99529964061225
Nicaragua,NIC,2021,6850540.0,0,Measles,0.0
Nicaragua,NIC,2021,6850540.0,3100,Tuberculosis,45.25190714892548
Niger,NER,2021,25252722.0,8166369,Malaria,32338.569283738998
