country,iso3,year,population,cases,disease
Tajikistan,TJK,2021,9750064,8600,Tuberculosis
Thailand,THA,2021,71601103,103000,Tuberculosis
Timor-Leste,TLS,2021,1320942,6400,Tuberculosis
Togo,TGO,2021,8644829,2900,Tuberculosis
Tokelau,TKL,2021,1849,0,Tuberculosis
Tonga,TON,2021,106017,8,Tuberculosis
Trinidad and Tobago,TTO,2021,1525663,200,Tuberculosis
Tunisia,TUN,2021,12262946,4500,Tuberculosis
Türkiye,TUR,2021,84775404,15000,Tuberculosis
Turkmenistan,TKM,2021,6341855,3000,Tuberculosis
Turks and Caicos Islands,TCA,2021,45114,0,Tuberculosis
Tuvalu,TUV,2021,11204,33,Tuberculosis
Uganda,UGA,2021,45853778,91000,Tuberculosis
Ukraine,UKR,2021,43531422,31000,Tuberculosis
United Arab Emirates,ARE,2021,9365145,77,Tuberculosis
United Kingdom of Great Britain and Northern Ireland,GBR,2021,67281039,4300,Tuberculosis
United Republic of Tanzania,TZA,2021,63588334,132000,Tuberculosis
United States of America,USA,2021,336997624,8700,Tuberculosis
Uruguay,URY,2021,3426260,1100,Tuberculosis
Uzbekistan,UZB,2021,34081449,21000,Tuberculosis
Vanuatu,VUT,2021,319137,110,Tuberculosis
Venezuela (Bolivarian Republic of),VEN,2021,28199867,13000,Tuberculosis
Viet Nam,VNM,2021,97468029,169000,Tuberculosis
Wallis and Futuna,WLF,2021,11627,0,Tuberculosis
Yemen,YEM,2021,32981641,16000,Tuberculosis
Zambia,ZMB,2021,19473125,60000,Tuberculosis
Zimbabwe,ZWE,2021,15993524,30000,Tuberculosis
